Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:31:54.442 GMT+0300	1.616	1.61545	1.6	1
01.01.2010 00:31:54.622 GMT+0300	1.616	1.6154	1.6	4.8
01.01.2010 00:31:54.792 GMT+0300	1.616	1.6154	3.2	3.2
01.01.2010 00:31:55.262 GMT+0300	1.616	1.6154	3.2	1.6
01.01.2010 00:31:55.442 GMT+0300	1.616	1.6154	4	1.6
01.01.2010 00:31:58.201 GMT+0300	1.61595	1.6154	1.6	1.6
01.01.2010 00:31:59.301 GMT+0300	1.61595	1.61535	1.6	4.8
01.01.2010 00:32:14.987 GMT+0300	1.61595	1.61535	3.2	4.8
01.01.2010 00:32:19.476 GMT+0300	1.6159	1.61535	1.6	4.8
01.01.2010 00:32:19.636 GMT+0300	1.6159	1.61535	1.6	3.2
01.01.2010 00:32:19.816 GMT+0300	1.6159	1.61535	1.6	1.6
01.01.2010 00:32:54.937 GMT+0300	1.6159	1.6153	1.6	3.2
01.01.2010 00:33:08.514 GMT+0300	1.61585	1.61525	1.6	1.6
01.01.2010 00:33:08.794 GMT+0300	1.6158	1.61525	1.6	1.6
01.01.2010 00:33:15.842 GMT+0300	1.6158	1.6152	3.2	1.6
01.01.2010 00:33:16.872 GMT+0300	1.61575	1.6152	3.2	1.6
01.01.2010 00:33:24.550 GMT+0300	1.6157	1.61515	1.6	3.3
01.01.2010 00:33:24.670 GMT+0300	1.6157	1.61515	1.6	1
01.01.2010 00:33:24.780 GMT+0300	1.6157	1.61515	3.2	1
01.01.2010 00:33:29.979 GMT+0300	1.61565	1.61505	3.2	4.1
01.01.2010 00:33:31.208 GMT+0300	1.61565	1.6151	3.2	1
01.01.2010 00:33:32.468 GMT+0300	1.61565	1.61515	3.2	1
01.01.2010 00:33:33.078 GMT+0300	1.6157	1.61515	3.2	1
01.01.2010 00:33:34.438 GMT+0300	1.6157	1.6152	3.2	1
01.01.2010 00:33:38.437 GMT+0300	1.6157	1.61525	3.2	1
01.01.2010 00:33:40.356 GMT+0300	1.6157	1.6153	3.2	1
01.01.2010 00:33:51.184 GMT+0300	1.6157	1.61525	3.2	1
01.01.2010 00:33:55.793 GMT+0300	1.6157	1.6151	3.2	1.7
01.01.2010 00:33:56.423 GMT+0300	1.6157	1.6151	3.2	3.3
01.01.2010 00:33:59.382 GMT+0300	1.6157	1.6152	3.2	1
